HPI rank;Country;ISO;Continent;Unnamed: 4;Population (thousands);Year;LifeExp (years);Ladder of life (0-10);Footprint (g ha);HPI;Biocapacity for year (g ha);GDP per capita ($)
62;Venezuela;VEN;1;2018VEN;28887.117;2018;72.1;5.005663395;1.92698938;46.52875272;1.57;
63;Benin;BEN;5;2018BEN;11485.035;2018;61.5;5.81982708;1.405258268;46.26491601;1.57;3160.777093
64;Portugal;PRT;3;2018PRT;10256.192;2018;81.9;5.919822693;4.566558766;46.12374519;1.57;34149.39832
65;Malta;MLT;3;2018MLT;439.255;2018;82.4;6.909710884;6.032441296;46.05316234;1.57;43207.26772
66;Senegal;SEN;5;2018SEN;15854.324;2018;67.7;4.769377232;1.158450903;46.03607262;1.57;3314.785689
67;Hungary;HUN;7;2018HUN;9707.502;2018;76.7;5.935770988;3.853759318;45.94365008;1.57;31196.50498
68;Slovakia;SVK;7;2018SVK;5453.017;2018;77.4;6.23511076;4.352998824;45.93018711;1.57;31283.76368
69;Bolivia;BOL;1;2018BOL;11353.14;2018;71.2;5.915734291;3.023832411;45.86141216;1.57;8655.52996
70;Lebanon;LBN;4;2018LBN;6859.408;2018;78.9;5.167186737;3.183907596;45.82130248;1.57;15612.01218
71;Slovenia;SVN;7;2018SVN;2077.836;2018;81.2;6.249419212;4.991998824;45.80267268;1.57;38089.53867
72;Croatia;HRV;7;2018HRV;4156.407;2018;78.3;5.536271095;3.656390574;45.52398626;1.57;27888.57363
73;Jordan;JOR;4;2018JOR;9965.322;2018;74.4;4.638933659;1.959970559;45.50249618;1.57;10022.76232
74;Iraq;IRQ;4;2018IRQ;38433.604;2018;70.5;4.8864007;1.769129175;45.42260571;1.57;10660.09256
75;Greece;GRC;3;2018GRC;10522.244;2018;82.1;5.40928936;4.079718668;45.29208356;1.57;29859.80485
76;North Macedonia;MKD;7;2018MKD;2082.957;2018;75.7;5.239834785;2.949917399;45.27590392;1.57;16147.72998
